source node,target node,similarity score
AFST 289,HIST 205,0.78473806
AFST 289,HIST 308,0.7576215
AFST 289,POSC 120,0.74913585
AFST 300,AFST 300,0.9999999
AFST 300,HIST 209,0.8012701
AFST 300,HIST 206,0.79126877
AFST 300,CLAS 240,0.76335615
AMST 115,GWSS 398.00,0.8529979
AMST 115,RELG 344,0.807754
AMST 115,HIST 229,0.77279097
AMST 269,SOAN 228,0.7927368
AMST 269,RELG 344,0.75049424
AMST 269,SPAN 369,0.7179083
AMST 321,FREN 255,0.86433536
AMST 321,RUSS 228,0.70514506
AMST 321,CLAS 214,0.7009588
AMST 396.00,RELG 213,0.7331047
AMST 396.00,MATH 342,0.72822225
AMST 396.00,POSC 120,0.7143356
ARBC 103,ARBC 103,0.9999999
ARBC 103,ARTS 374,0.72143066
ARBC 103,RUSS 228F,0.7155377
ARBC 206,ARBC 206,0.99999994
ARBC 206,POSC 232.02,0.7899519
ARBC 206,SPAN 103,0.74368304
ARBC 222,ARBC 223,0.6816378
ARBC 222,MUSC 127,0.6776026
ARBC 222,MUSC 227,0.6514311
ARBC 223,ARBC 223,0.9999999
ARBC 223,ARBC 222,0.6816378
ARBC 223,ENGL 395.00,0.6710731
ARBC 371,MEST 395,0.78047967
ARBC 371,CAMS 229,0.74641544
ARBC 371,CAMS 272,0.7062583
ARCN 112,SPAN 369,0.86591715
ARCN 112,PSYC 382,0.8228587
ARCN 112,RELG 221,0.81411225
ARCN 112,RELG 110,0.79518247
ARCN 222,HIST 206,0.7697687
ARCN 222,EUST 101.07,0.69236535
ARCN 222,HIST 276,0.6870451
ARTH 214,HIST 229,0.81223685
ARTH 214,POSC 170,0.6838227
ARTH 214,GWSS 110,0.64434224
ARTH 298,ARTH 298,0.9999999
ARTH 298,DANC 279,0.70613545
ARTH 298,HEBR 102,0.6477109
ARTS 113,PHYS 342,0.7475313
ARTS 113,ARTS 252,0.709287
ARTS 113,ASTR 113,0.6833552
ARTS 122,ARTS 122,0.9999999
ARTS 122,THEA 185,0.7734619
ARTS 122,ARTS 322,0.76596606
ARTS 139,ARTS 339,0.9700778
ARTS 139,ARTS 230,0.82746685
ARTS 139,THEA 185,0.8047672
ARTS 139,MUSC 221,0.775244
ARTS 230,ARTS 230,0.99999994
ARTS 230,ARTS 139,0.82746685
ARTS 230,ARTS 339,0.81456923
ARTS 230,DANC 107,0.80886084
ARTS 230,CAMS 110,0.76190877
ARTS 230,NEUR 239,0.75328946
ARTS 252,ASTR 113,0.8173922
ARTS 252,PHYS 342,0.8140893
ARTS 252,GEOL 255,0.7987898
ARTS 252,CAMS 111,0.79359597
ARTS 252,NEUR 395,0.7921569
ARTS 252,BIOL 241,0.7832528
ARTS 252,CAMS 265,0.76636404
ARTS 262,ARTS 262,0.99999994
ARTS 262,GRK 102,0.84475
ARTS 262,JAPN 103,0.7931404
ARTS 262,CHIN 206,0.792682
ARTS 262,NEUR 239,0.77116776
ARTS 262,DANC 107,0.768505
ARTS 262,DANC 310,0.7617783
ARTS 298,ARTS 298,0.99999994
ARTS 298,DANC 206,0.7121015
ARTS 298,THEA 190,0.6681368
ARTS 322,ARTS 122,0.76596606
ARTS 322,ARTS 139,0.71421933
ARTS 322,ENGL 295,0.70050174
ARTS 339,ARTS 139,0.9700778
ARTS 339,ARTS 230,0.81456923
ARTS 339,MUSC 221,0.76364934
ARTS 339,DANC 310,0.76324666
ARTS 339,THEA 185,0.7577305
ARTS 374,SPAN 103,0.778028
ARTS 374,FREN 103,0.7633367
ARTS 374,LATN 103,0.75454766
ARTS 374,CHEM 351,0.7542431
ASLN 111,JAPN 103,0.7998089
ASLN 111,GRK 102,0.7710606
ASLN 111,SPAN 103,0.75744367
ASST 110,ASST 110,0.99999994
ASST 110,RUSS 228F,0.6803439
ASST 110,CAMS 186,0.6332714
ASST 285,RELG 110,0.827501
ASST 285,POSC 120,0.7524241
ASST 285,POSC 170,0.73358715
ASTR 113,ASTR 113,0.9999999
ASTR 113,GEOL 255,0.82987684
ASTR 113,ARTS 252,0.8173922
ASTR 113,NEUR 395,0.8110051
ASTR 113,STAT 230,0.791188
ASTR 113,THEA 185,0.78743047
ASTR 113,NEUR 239,0.76947594
ASTR 233,MATH 236,0.869247
ASTR 233,MATH 341,0.8676891
ASTR 233,CGSC 130.00,0.76851994
ASTR 233,PHYS 235,0.763902
ASTR 233,MATH 111,0.7626557
ASTR 233,GEOL 255,0.75988275
ASTR 233,BIOL 353,0.75528896
BIOC 311,BIOC 311,0.9999998
BIOC 311,GEOL 240,0.91279763
BIOC 311,NEUR 239,0.8210518
BIOC 311,ECON 110,0.7990199
BIOC 311,PHYS 342,0.7830172
BIOC 311,ECON 265,0.7624924
BIOC 331,IDSC 289,0.8593363
BIOC 331,CHEM 362,0.7025289
BIOC 331,SPAN 205,0.68618494
BIOL 125,BIOL 125,0.9999999
BIOL 125,BIOL 126,0.9357059
BIOL 125,CAMS 111,0.7659424
BIOL 125,ARTS 252,0.7615907
BIOL 125,DANC 208,0.7569036
BIOL 126,BIOL 125,0.9357059
BIOL 126,DANC 208,0.79155844
BIOL 126,ARTS 252,0.7503438
BIOL 240,ECON 270,0.9196394
BIOL 240,ECON 111,0.83986694
BIOL 240,ECON 110,0.81265324
BIOL 240,ECON 330,0.75788546
BIOL 241,BIOL 353,0.9009907
BIOL 241,CHEM 349,0.8864272
BIOL 241,JAPN 103,0.8232211
BIOL 241,PSYC 216,0.78403026
BIOL 241,ARTS 252,0.7832528
BIOL 241,CHEM 352,0.7828672
BIOL 241,PSYC 256,0.7817403
BIOL 352,BIOL 352,0.9999999
BIOL 352,PHYS 352,0.8126973
BIOL 352,MATH 331,0.78009415
BIOL 352,PSYC 216,0.7770542
BIOL 352,STAT 120,0.7656972
BIOL 353,BIOL 353,0.99999994
BIOL 353,BIOL 241,0.9009907
BIOL 353,CHEM 349,0.8066497
BIOL 353,JAPN 103,0.78351665
BIOL 353,ASTR 233,0.75528896
BIOL 353,CHEM 352,0.75248694
BIOL 370,DANC 310,0.7857769
BIOL 370,NEUR 239,0.74369335
BIOL 370,CHEM 300.00,0.7306711
BIOL 378,PHIL 124,0.7813857
BIOL 378,EDUC 242,0.76691556
BIOL 378,EDUC 110,0.7517389
CAMS 110,CAMS 110,0.99999994
CAMS 110,ECON 398,0.8444275
CAMS 110,CAMS 229,0.7869735
CAMS 110,CAMS 265,0.77225035
CAMS 110,DANC 310,0.76949984
CAMS 110,ARTS 230,0.76190877
CAMS 110,PHYS 342,0.7517995
CAMS 111,ARTS 252,0.79359597
CAMS 111,MUSC 221,0.78259254
CAMS 111,BIOL 125,0.7659424
CAMS 186,POSC 333,0.7374408
CAMS 186,CS 311,0.7303478
CAMS 186,EDUC 338,0.7301549
CAMS 187,CAMS 187,0.99999994
CAMS 187,BIOL 370,0.7197197
CAMS 187,NEUR 395,0.7053916
CAMS 214,POSC 322,0.7521785
CAMS 214,POSC 201,0.72371036
CAMS 214,CAMS 265,0.68807
CAMS 229,CAMS 229,0.99999994
CAMS 229,CAMS 272,0.8249738
CAMS 229,CAMS 110,0.7869735
CAMS 229,CAMS 230,0.77189887
CAMS 229,RUSS 228F,0.75810695
CAMS 230,CAMS 229,0.77189887
CAMS 230,HIST 347,0.7144279
CAMS 230,RUSS 228F,0.69585204
CAMS 265,CAMS 265,0.9999998
CAMS 265,GEOL 255,0.79717046
CAMS 265,CAMS 110,0.77225035
CAMS 265,NEUR 239,0.7680103
CAMS 265,ARTS 252,0.76636404
CAMS 265,PHYS 342,0.76415884
CAMS 272,CAMS 272,0.99999994
CAMS 272,CAMS 229,0.8249738
CAMS 272,IDSC 280,0.81010336
CAMS 272,IDSC 202,0.7761403
CAMS 272,THEA 190,0.75926286
CAMS 277,ENGL 109,0.73162955
CAMS 277,PHYS 235,0.6945267
CAMS 277,BIOC 311,0.6678217
CCST 208,CCST 208,0.99999994
CCST 208,RELG 155,0.666671
CCST 208,PHIL 209,0.6559558
CGSC 130.00,ASTR 233,0.76851994
CGSC 130.00,LATN 103,0.7675581
CGSC 130.00,CGSC 330,0.7574717
CGSC 330,CGSC 130.00,0.7574717
CGSC 330,CHEM 362,0.6984893
CGSC 330,MUSC 227,0.67287797
CHEM 123,CHEM 123,0.9999999
CHEM 123,CHEM 224,0.8221958
CHEM 123,CHEM 234,0.74274
CHEM 224,CHEM 224,0.99999976
CHEM 224,CHEM 351,0.89675653
CHEM 224,CHEM 234,0.844237
CHEM 224,CHEM 123,0.8221958
CHEM 224,CHEM 348,0.7748895
CHEM 224,CHEM 352,0.77435595
CHEM 224,CHEM 362,0.7565066
CHEM 234,CHEM 224,0.844237
CHEM 234,CHEM 349,0.805
CHEM 234,CHEM 352,0.8013485
CHEM 234,CHEM 351,0.76470596
CHEM 300.00,IDSC 289,0.8352909
CHEM 300.00,EDUC 385,0.7969222
CHEM 300.00,IDSC 202,0.77639115
CHEM 300.00,IDSC 298,0.7700217
CHEM 300.00,ECON 398,0.76120555
CHEM 348,CHEM 348,0.9999999
CHEM 348,PSYC 201,0.81322813
CHEM 348,CHEM 351,0.78091305
CHEM 348,CHEM 224,0.7748895
CHEM 349,BIOL 241,0.8864272
CHEM 349,CHEM 352,0.86093724
CHEM 349,BIOL 353,0.8066497
CHEM 349,CHEM 234,0.805
CHEM 349,PSYC 216,0.75770384
CHEM 349,PSYC 217,0.7546973
CHEM 349,PSYC 256,0.752205
CHEM 351,CHEM 224,0.89675653
CHEM 351,PSYC 201,0.83227724
CHEM 351,CHEM 348,0.78091305
CHEM 351,PSYC 217,0.7706756
CHEM 351,CHEM 234,0.76470596
CHEM 351,MATH 331,0.7643821
CHEM 351,CHEM 362,0.7577046
CHEM 352,CHEM 352,0.9999999
CHEM 352,CHEM 349,0.86093724
CHEM 352,THEA 110,0.81558716
CHEM 352,CHEM 234,0.8013485
CHEM 352,PHYS 145,0.79825634
CHEM 352,BIOL 241,0.7828672
CHEM 352,CHEM 224,0.77435595
CHEM 362,CHEM 351,0.7577046
CHEM 362,CHEM 224,0.7565066
CHEM 362,CS 251,0.73556405
CHIN 103,RUSS 309,0.74668986
CHIN 103,JAPN 103,0.738861
CHIN 103,RUSS 110,0.73834795
CHIN 206,CHIN 206,0.99999994
CHIN 206,JAPN 206,0.80352944
CHIN 206,ARTS 262,0.792682
CHIN 206,GRK 102,0.75216633
CHIN 251,HIST 265,0.8109885
CHIN 251,EUST 101.07,0.7792022
CHIN 251,RUSS 228,0.76134115
CHIN 358,CHIN 358,0.99999994
CHIN 358,SPAN 208,0.6889959
CHIN 358,FREN 210,0.68063545
CLAS 123,HIST 251,0.8765467
CLAS 123,JAPN 343,0.83703685
CLAS 123,POSC 322,0.7817224
CLAS 123,HIST 205,0.7816314
CLAS 123,HIST 201,0.76506317
CLAS 142,RELG 110,0.7536112
CLAS 142,SPAN 220,0.7524897
CLAS 142,PHIL 289,0.73326266
CLAS 214,CLAS 214,0.99999994
CLAS 214,ENGL 338,0.7857384
CLAS 214,RELG 221,0.74512035
CLAS 240,HIST 209,0.7764678
CLAS 240,HIST 206,0.774336
CLAS 240,AFST 300,0.76335615
CS 111,CS 111,0.9999999
CS 111,STAT 250,0.85482526
CS 111,CS 252,0.83746773
CS 111,STAT 220,0.82703006
CS 111,CS 257,0.8142377
CS 111,CS 348,0.80315775
CS 111,MATH 271,0.79990655
CS 201,CS 201,0.99999994
CS 201,CS 311,0.8504387
CS 201,CS 208,0.7561118
CS 201,RELG 213,0.7535026
CS 202,ECON 265,0.7417668
CS 202,MATH 271,0.7365576
CS 202,CS 208,0.6855283
CS 208,CS 208,0.9999999
CS 208,CS 257,0.8212042
CS 208,CS 311,0.7743359
CS 208,LING 135,0.7708577
CS 208,PHIL 210,0.75916976
CS 208,CS 201,0.7561118
CS 251,CS 252,0.7731432
CS 251,CS 257,0.7436797
CS 251,CS 111,0.74266994
CS 252,CS 252,0.99999994
CS 252,CS 111,0.83746773
CS 252,CS 348,0.8175335
CS 252,STAT 250,0.8103345
CS 252,PSYC 200,0.78436685
CS 252,MATH 271,0.7840763
CS 252,CS 251,0.7731432
CS 254,CS 254,0.9999999
CS 254,PSYC 200,0.82917476
CS 254,MATH 236,0.8268084
CS 254,STAT 320,0.80285764
CS 254,CS 348,0.7594346
CS 257,CS 208,0.8212042
CS 257,CS 111,0.8142377
CS 257,CS 251,0.7436797
CS 304,CS 304,0.99999994
CS 304,MATH 241,0.76279175
CS 304,CS 257,0.7313434
CS 311,CS 311,0.99999994
CS 311,CS 201,0.8504387
CS 311,CS 208,0.7743359
CS 311,POSC 333,0.7726799
CS 311,ENGL 268,0.7588968
CS 320,CS 320,0.9999999
CS 320,CS 257,0.7310016
CS 320,CS 251,0.7074789
CS 347,NEUR 239,0.74814826
CS 347,CS 257,0.72581166
CS 347,CHEM 300.00,0.721982
CS 348,MATH 271,0.8371738
CS 348,CS 252,0.8175335
CS 348,CS 111,0.80315775
CS 348,ECON 265,0.79919916
CS 348,CS 254,0.7594346
CS 361,NEUR 395,0.7180566
CS 361,GEOL 255,0.710631
CS 361,ASTR 113,0.69090855
DANC 107,DANC 107,0.99999994
DANC 107,ARTS 230,0.80886084
DANC 107,ARTS 262,0.768505
DANC 148,DANC 148,0.9999999
DANC 148,DANC 350,0.7249975
DANC 148,DANC 190,0.71288013
DANC 190,DANC 350,0.8482001
DANC 190,PHYS 342,0.7632651
DANC 190,GEOL 240,0.73506415
DANC 200,DANC 200,0.9999999
DANC 200,GEOL 255,0.7567482
DANC 200,PHYS 142,0.7436862
DANC 206,THEA 190,0.86441886
DANC 206,IDSC 280,0.81237155
DANC 206,DANC 350,0.8053984
DANC 206,RUSS 309,0.79136974
DANC 206,EDUC 385,0.77355945
DANC 206,RUSS 110,0.7502263
DANC 208,DANC 208,0.99999994
DANC 208,DANC 309,0.79942673
DANC 208,BIOL 126,0.79155844
DANC 208,BIOL 125,0.7569036
DANC 279,DANC 279,0.99999994
DANC 279,CHEM 352,0.7171494
DANC 279,DANC 190,0.7135512
DANC 309,DANC 208,0.79942673
DANC 309,ARTS 262,0.7597112
DANC 309,JAPN 206,0.73459977
DANC 310,GEOL 255,0.7963693
DANC 310,BIOL 370,0.7857769
DANC 310,NEUR 239,0.7794422
DANC 310,CAMS 110,0.76949984
DANC 310,GEOL 240,0.7644422
DANC 310,ARTS 339,0.76324666
DANC 310,ARTS 262,0.7617783
DANC 350,DANC 190,0.8482001
DANC 350,DANC 206,0.8053984
DANC 350,CHEM 352,0.73830694
DGAH 398,DGAH 398,0.99999994
DGAH 398,ARTS 252,0.7550884
DGAH 398,THEA 190,0.74101156
ECON 110,ECON 110,0.99999994
ECON 110,ECON 111,0.942274
ECON 110,ECON 270,0.82422376
ECON 110,BIOL 240,0.81265324
ECON 110,BIOC 311,0.7990199
ECON 110,GEOL 240,0.77877384
ECON 110,PHYS 342,0.7723396
ECON 111,ECON 110,0.942274
ECON 111,ECON 270,0.8768483
ECON 111,BIOL 240,0.83986694
ECON 265,MATH 271,0.8276092
ECON 265,MATH 232,0.8151954
ECON 265,MATH 134,0.8044211
ECON 265,CS 348,0.79919916
ECON 265,MATH 342,0.7725211
ECON 265,BIOC 311,0.7624924
ECON 265,MATH 241,0.7522168
ECON 269,PSYC 354,0.6776931
ECON 269,POSC 231,0.6537094
ECON 269,POSC 120,0.63894975
ECON 270,BIOL 240,0.9196394
ECON 270,ECON 111,0.8768483
ECON 270,ECON 110,0.82422376
ECON 270,ECON 331,0.7505945
ECON 274,IDSC 251,0.7259359
ECON 274,POSC 266,0.6373808
ECON 274,AFST 300,0.6339525
ECON 277,ECON 280,0.7439946
ECON 277,POSC 322,0.7209953
ECON 277,POSC 120,0.6651872
ECON 280,ECON 277,0.7439946
ECON 280,POSC 322,0.7268903
ECON 280,ASTR 233,0.7168136
ECON 330,ECON 331,0.9214234
ECON 330,MUSC 299,0.77347124
ECON 330,RUSS 207,0.7724506
ECON 330,BIOL 240,0.75788546
ECON 330,RUSS 209,0.7525333
ECON 331,ECON 331,0.99999994
ECON 331,ECON 330,0.9214234
ECON 331,RUSS 209,0.85514873
ECON 331,RUSS 207,0.7959657
ECON 331,MUSC 299,0.771883
ECON 331,ECON 270,0.7505945
ECON 398,CAMS 110,0.8444275
ECON 398,CHEM 300.00,0.76120555
ECON 398,THEA 110,0.7182391
EDUC 110,EDUC 110,0.99999994
EDUC 110,PHIL 124,0.8288218
EDUC 110,ENGL 255,0.7891736
EDUC 110,BIOL 378,0.7517389
EDUC 242,BIOL 378,0.76691556
EDUC 242,RUSS 267,0.75143677
EDUC 242,PHIL 124,0.74936104
EDUC 338,EDUC 338,0.9999999
EDUC 338,CAMS 186,0.7301549
EDUC 338,DANC 148,0.6912168
EDUC 385,PHYS 123,0.86768657
EDUC 385,IDSC 298,0.8420703
EDUC 385,IDSC 280,0.83805144
EDUC 385,THEA 199,0.8160057
EDUC 385,CHEM 300.00,0.7969222
EDUC 385,DANC 206,0.77355945
EDUC 395,IDSC 202,0.6562133
EDUC 395,HIST 298,0.65154886
EDUC 395,MELA 230,0.63971215
ENGL 109,ENGL 371,0.7752018
ENGL 109,MUSC 221,0.7470758
ENGL 109,CAMS 277,0.73162955
ENGL 115,ENGL 115,0.9999998
ENGL 115,PHIL 219,0.6995786
ENGL 115,ENGL 202,0.6686409
ENGL 160,ENGL 371,0.69322497
ENGL 160,ENGL 109,0.6856602
ENGL 160,CLAS 142,0.6734333
ENGL 202,RELG 155,0.82316804
ENGL 202,POSC 348,0.681386
ENGL 202,PHIL 219,0.6687071
ENGL 209,HIST 276,0.73517406
ENGL 209,PHIL 289,0.68248576
ENGL 209,ENGL 371,0.6753515
ENGL 230,PSYC 389,0.7657064
ENGL 230,POSC 206.00,0.7564192
ENGL 230,ECON 270,0.73569703
ENGL 253,ENGL 253,0.9999998
ENGL 253,IDSC 251,0.6487786
ENGL 253,GRK 226,0.6093432
ENGL 255,EDUC 110,0.7891736
ENGL 255,RELG 344,0.6706827
ENGL 255,PHIL 124,0.6522431
ENGL 268,ENGL 268,0.9999999
ENGL 268,CS 311,0.7588968
ENGL 268,STAT 220,0.7508269
ENGL 295,DANC 206,0.71293575
ENGL 295,ARTS 322,0.70050174
ENGL 295,DANC 208,0.69319254
ENGL 338,CLAS 214,0.7857384
ENGL 338,LATN 240,0.7783534
ENGL 338,HIST 116,0.70429647
ENGL 370,ENGL 370,0.99999994
ENGL 370,RUSS 228F,0.72902346
ENGL 370,ENGL 371,0.7187115
ENGL 371,ENGL 371,0.99999994
ENGL 371,ENGL 109,0.7752018
ENGL 371,ENGL 370,0.7187115
ENGL 395.00,SOAN 312,0.7373926
ENGL 395.00,LATN 240,0.7097854
ENGL 395.00,HIST 116,0.6975658
EUST 101.07,MEST 395,0.8294003
EUST 101.07,CHIN 251,0.7792022
EUST 101.07,IDSC 298,0.74141866
EUST 207,EUST 207,0.99999994
EUST 207,HIST 201,0.81119084
EUST 207,JAPN 343,0.70162225
FREN 103,FREN 103,0.9999999
FREN 103,SPAN 103,0.96798414
FREN 103,JAPN 103,0.795004
FREN 103,JAPN 206,0.763758
FREN 103,ARTS 374,0.7633367
FREN 103,POSC 232.02,0.75174916
FREN 208,SPAN 103,0.77394354
FREN 208,FREN 210,0.76454765
FREN 208,POSC 232.02,0.7339071
FREN 210,FREN 210,0.9999999
FREN 210,SPAN 208,0.8420745
FREN 210,FREN 208,0.76454765
FREN 210,FREN 245,0.76119995
FREN 245,FREN 245,0.9999999
FREN 245,FREN 210,0.76119995
FREN 245,JAPN 103,0.7515514
FREN 254,MATH 120,0.7213605
FREN 254,CHIN 103,0.70089847
FREN 254,MATH 210,0.6454388
FREN 255,AMST 321,0.86433536
FREN 255,CAMS 229,0.69372135
FREN 255,RUSS 228,0.67451584
FREN 259,HIST 201,0.7452421
FREN 259,SPAN 220,0.72527856
FREN 259,ARBC 103,0.6753933
FREN 310,POSC 348,0.7583639
FREN 310,RELG 110,0.7036332
FREN 310,RUSS 266,0.68714625
GEOL 110,GEOL 110,0.9999999
GEOL 110,PSYC 256,0.72869235
GEOL 110,SOAN 323,0.631924
GEOL 230,GEOL 230,0.99999994
GEOL 230,GEOL 255,0.6222169
GEOL 230,PHYS 123,0.62219167
GEOL 240,BIOC 311,0.91279763
GEOL 240,NEUR 239,0.8446267
GEOL 240,PHYS 342,0.834369
GEOL 240,THEA 110,0.79435927
GEOL 240,GEOL 255,0.7902934
GEOL 240,ECON 110,0.77877384
GEOL 240,PHYS 142,0.7686978
GEOL 255,GEOL 255,0.99999994
GEOL 255,ASTR 113,0.82987684
GEOL 255,ARTS 252,0.7987898
GEOL 255,CAMS 265,0.79717046
GEOL 255,DANC 310,0.7963693
GEOL 255,GEOL 240,0.7902934
GEOL 255,NEUR 239,0.7797943
GERM 103,RUSS 307,0.76087403
GERM 103,CGSC 130.00,0.7380681
GERM 103,RUSS 209,0.72123706
GERM 217,HIST 251,0.8400638
GERM 217,MUSC 217,0.8015622
GERM 217,HIST 270,0.79745907
GERM 217,SPAN 263,0.7603309
GERM 221,SPAN 369,0.8004451
GERM 221,RELG 213,0.7569969
GERM 221,PSYC 382,0.73429984
GRK 102,GRK 102,0.99999994
GRK 102,JAPN 103,0.8940492
GRK 102,ARTS 262,0.84475
GRK 102,LATN 103,0.8437188
GRK 102,SPAN 205,0.80829436
GRK 102,SPAN 103,0.7983795
GRK 102,ASLN 111,0.7710606
GRK 226,GRK 226,0.99999994
GRK 226,SOAN 110,0.7494106
GRK 226,POSC 348,0.7251646
GWSS 110,RELG 221,0.7675024
GWSS 110,GWSS 398.00,0.7656665
GWSS 110,POSC 120,0.75026494
GWSS 200,GWSS 200,0.99999994
GWSS 200,LTAM 220,0.7220893
GWSS 200,RELG 213,0.7200877
GWSS 398.00,AMST 115,0.8529979
GWSS 398.00,GWSS 110,0.7656665
GWSS 398.00,RELG 344,0.7496902
HEBR 102,CHIN 206,0.72059333
HEBR 102,SPAN 205,0.7179325
HEBR 102,THEA 110,0.71643686
HIST 111,POSC 322,0.76467216
HIST 111,HIST 205,0.7605189
HIST 111,AFST 289,0.71712106
HIST 116,HIST 116,0.99999994
HIST 116,LATN 240,0.70990354
HIST 116,ENGL 338,0.70429647
HIST 153,HIST 153,0.99999994
HIST 153,POSC 120,0.67042524
HIST 153,RELG 265,0.6685513
