Similarity,Department_1,Department_2
0.57470864,MATH,RUSS
0.57451224,POSC,SPAN
0.5743479,CHEM,EDUC
0.57429636,DGAH,MATH
0.5741534,ASTR,RELG
0.57374173,BIOC,HIST
0.5737228,MELA,RUSS
0.57367784,GRK,PHIL
0.5736699,SOAN,SPAN
0.57326317,CLAS,IDSC
0.5730472,CAMS,GERM
0.57271844,AMST,PHIL
0.572385,FREN,MEST
0.5720106,ARBC,LTAM
0.57108074,GRK,THEA
0.569939,ASTR,DGAH
0.5697649,ARCN,SOAN
0.5695004,FREN,GEOL
0.56859666,ASST,ENGL
0.56856894,CGSC,POSC
0.5680701,HEBR,MEST
0.5669748,BIOL,HEBR
0.5667574,CS,JAPN
0.56663275,ECON,RELG
0.56642896,ASLN,BIOC
0.56642205,GRK,GWSS
0.5662956,ASTR,HEBR
0.5654128,LING,OCP
0.5651369,HIST,MATH
0.56483585,NEUR,THEA
0.5634174,CAMS,THEA
0.5627743,BIOL,IDSC
0.56275874,CHEM,POSC
0.56238174,CCST,HIST
0.5616776,DANC,LATN
0.56131476,CHIN,SPAN
0.56119376,CGSC,RUSS
0.5609847,CHEM,DGAH
0.5608874,ASTR,GRK
0.5600456,ASST,CAMS
0.5595492,CGSC,IDSC
0.55861473,CCST,PSYC
0.55835414,HEBR,PHIL
0.55780375,ASLN,THEA
0.55739135,ARTH,ASST
0.5567309,PHYS,THEA
0.5564196,HIST,MELA
0.55622065,ARCN,THEA
0.5561411,CAMS,JAPN
0.55593956,ASST,SPAN
0.55566037,AFST,AMST
0.55528104,ASTR,ENGL
0.55499977,FREN,HIST
0.55477935,DGAH,PHYS
0.5542021,ASST,PSYC
0.55418926,EDUC,FREN
0.5540965,CLAS,MELA
0.55407864,CHEM,JAPN
0.55404735,AFST,CHIN
0.55329347,GERM,HEBR
0.5521964,MUSC,NEUR
0.5516339,CAMS,GRK
0.55102575,ENGL,MEST
0.55064714,AFST,CS
0.5503813,NEUR,POSC
0.54974794,ASTR,SOAN
0.5489052,ARTH,CS
0.54889023,HEBR,HIST
0.5482596,CAMS,CS
0.54820395,CHIN,LTAM
0.5479384,GWSS,PHIL
0.5478112,DANC,ENGL
0.54745734,ARBC,EUST
0.54742575,DANC,JAPN
0.5472793,CHIN,HEBR
0.54702896,ENGL,POSC
0.5466631,DGAH,HEBR
0.54649746,CCST,DANC
0.5463511,DGAH,SPAN
0.54629695,GEOL,IDSC
0.54624295,ENGL,FREN
0.54511255,BIOC,RELG
0.5444932,GWSS,JAPN
0.54413456,GWSS,IDSC
0.5438653,LING,PSYC
0.5436528,DGAH,SOAN
0.54359776,ASST,RELG
0.54230875,ARTH,ENGL
0.54216796,ARTH,EDUC
0.54136336,BIOL,FREN
0.54134184,ARCN,ASLN
0.5411541,GEOL,THEA
0.5403385,CHEM,LING
0.540321,GEOL,SPAN
0.53964794,EDUC,OCP
0.53897023,ARCN,ASTR
0.5388197,ENGL,GRK
0.53825283,CLAS,PHIL
0.53793323,EUST,MUSC
0.5375482,CHEM,SOAN
0.537233,EDUC,PHYS
0.5372008,DGAH,EUST
0.53679097,CLAS,LATN
0.5358377,HIST,RUSS
0.53489125,DANC,MUSC
0.5348159,BIOL,POSC
0.53467983,CCST,IDSC
0.53392285,LATN,PHIL
0.53355545,ECON,GERM
0.53256667,PHYS,RELG
0.5321995,CAMS,EDUC
0.53211015,ASST,PHYS
0.5308727,AFST,ARCN
0.53075534,ASST,DANC
0.53045493,ARCN,CS
0.5299164,EUST,RELG
0.52975094,GEOL,PHIL
0.5297362,CHIN,NEUR
0.5296215,HIST,STAT
0.5294443,AMST,EUST
0.5281957,CHIN,THEA
0.52813077,HEBR,LTAM
0.52811056,ARTS,IDSC
0.5277859,AFST,LTAM
0.5277161,ECON,NEUR
0.52729774,GWSS,SOAN
0.5271254,DANC,HIST
0.5267985,ARTH,MELA
0.52670324,LTAM,OCP
0.5267005,HIST,IDSC
0.5263246,MEST,PHYS
0.5258577,FREN,NEUR
0.5253025,JAPN,MEST
0.5251617,BIOL,EUST
0.5245778,BIOL,PSYC
0.5243988,FREN,GERM
0.5231163,ARTS,DGAH
0.52265745,HIST,LTAM
0.52109927,DANC,RUSS
0.5207321,ARTS,EDUC
0.52007556,CHIN,ENGL
0.5200234,DGAH,GRK
0.5200035,CAMS,RELG
0.5198062,ARCN,EUST
0.5194434,ARCN,MUSC
0.51932687,MELA,PHIL
0.51910025,GRK,LTAM
0.51896966,BIOL,MEST
0.5186732,AFST,GEOL
0.5181835,BIOC,PHIL
0.5181819,FREN,RELG
0.51810926,ASST,JAPN
0.51807004,ENGL,EUST
0.51708907,HIST,NEUR
0.5167404,ARCN,CAMS
0.51663595,CLAS,DANC
0.516533,OCP,SOAN
0.51649386,AFST,CAMS
0.5161901,ARTH,FREN
0.51561743,ECON,ENGL
0.5155494,GWSS,LING
0.5153233,JAPN,LTAM
0.51514864,CGSC,DGAH
0.5147278,OCP,PHYS
0.5143318,ARCN,GRK
0.5140504,ARBC,CS
0.5135939,ENGL,PSYC
0.51341504,CHIN,IDSC
0.51295036,AFST,SPAN
0.51236695,ASST,FREN
0.5121494,ARTH,PHIL
0.5119789,CHEM,LTAM
0.51188636,ARTH,CAMS
0.51164633,ASTR,RUSS
0.51110363,ARTS,MUSC
0.5110464,ARTH,JAPN
0.5106553,GEOL,HIST
0.51049024,ARBC,ASST
0.51017547,ASTR,EDUC
0.50969595,CCST,GRK
0.5094647,CCST,GERM
0.509099,CGSC,CHIN
0.50898045,ECON,EDUC
0.5086194,EDUC,MUSC
0.5086155,IDSC,POSC
0.5081564,AFST,DANC
0.50801796,GEOL,RUSS
0.5079001,ASLN,IDSC
0.5078549,AMST,DANC
0.5078315,BIOC,LING
0.5071342,ARTH,MATH
0.506801,CS,FREN
0.5061058,GERM,MEST
0.50589585,ECON,HIST
0.5055718,ASLN,CLAS
0.5053217,CCST,LATN
0.50433487,FREN,LTAM
0.5037379,ARTH,DANC
0.50355726,CCST,CS
0.50344855,BIOC,JAPN
0.5032078,EUST,NEUR
0.50279725,ARTH,RUSS
0.50261134,CLAS,RUSS
0.50252104,CCST,MUSC
0.50185436,OCP,THEA
0.5014474,ASST,BIOC
0.5011255,AMST,MELA
0.50084186,CHEM,NEUR
0.5008324,EUST,SOAN
0.49940756,CCST,EDUC
0.4993812,BIOL,PHIL
0.49873948,ASST,HEBR
0.49850303,ASTR,LING
0.498156,ASST,CHEM
0.496778,CHEM,HIST
0.4963479,CS,RUSS
0.49603325,GWSS,MATH
0.49515077,CAMS,HIST
0.49444,EDUC,EUST
0.49416515,CS,MUSC
0.49360865,MELA,PHYS
0.4932596,BIOL,CLAS
0.4928738,ARTS,HIST
0.4924153,RELG,RUSS
0.49227884,AFST,GERM
0.4920893,ASST,LING
0.49204996,ARTH,CHIN
0.49193874,AMST,CHIN
0.48959428,CGSC,LTAM
0.48952433,BIOC,GERM
0.48949644,BIOC,CGSC
0.48923984,ARBC,CLAS
0.4891506,ARCN,ARTH
0.48908684,ARTS,POSC
0.4890473,MELA,SOAN
0.488434,MEST,PSYC
0.48817906,AFST,LING
0.48763838,CS,GERM
0.48684713,ARBC,PHIL
0.48636267,ASTR,FREN
0.48562166,EDUC,PSYC
0.4856133,CGSC,CLAS
0.48515904,ARTS,JAPN
0.48496553,GERM,LING
0.48486114,CCST,LING
0.48464736,GEOL,OCP
0.48451844,AFST,MELA
0.48440963,CAMS,FREN
0.48438066,ARCN,CHEM
0.48309493,LTAM,MUSC
0.48302802,BIOL,CGSC
0.48222622,CS,GRK
0.4812203,ASST,NEUR
0.48118132,STAT,THEA
0.48090652,CGSC,HEBR
0.48058805,AFST,ASTR
0.48044726,EUST,LATN
0.4788597,CS,DANC
0.47870874,ASLN,RELG
0.47823453,ENGL,LATN
0.4768719,ASTR,HIST
0.47676703,ECON,IDSC
0.4765513,CCST,LTAM
0.47642443,BIOL,LATN
0.4763969,ASST,GWSS
0.4758947,ARTS,THEA
0.47570023,MEST,STAT
0.47567996,ASST,CGSC
0.47542185,MELA,THEA
0.4753295,CS,RELG
0.47506943,MEST,POSC
0.47402933,ASST,ECON
0.47345218,ASST,BIOL
0.47337902,AFST,MUSC
0.47321066,ARTH,BIOL
0.47282058,ASST,LTAM
0.4726537,ARBC,EDUC
0.47173908,DANC,MEST
0.4712119,GEOL,GERM
0.47115207,POSC,STAT
0.47056395,ASLN,RUSS
0.47051853,MELA,MUSC
0.4695294,ENGL,STAT
0.4694956,CHIN,LING
0.46946856,ENGL,THEA
0.4694115,ARTH,ASTR
0.46904886,CHEM,FREN
0.4683871,ASST,CHIN
0.46824503,CCST,ECON
0.46811333,EUST,SPAN
0.46752104,ASST,EUST
0.46713942,ASST,MUSC
0.46710896,ARCN,DANC
0.46682966,CS,HIST
0.46675873,FREN,PHIL
0.46503296,CLAS,NEUR
0.4626842,HIST,SOAN
0.46263415,CAMS,LING
0.46256426,GERM,POSC
0.46233478,HEBR,LING
0.46206555,BIOC,MUSC
0.46154767,ARTS,MELA
0.46115503,AFST,ENGL
0.46089622,ARTH,LTAM
0.46084076,ARCN,MATH
0.46020776,DANC,PHIL
0.45904958,CLAS,GEOL
0.45882368,AFST,ARTS
0.45853317,CGSC,PHIL
0.45826423,CGSC,HIST
0.45809618,DANC,RELG
0.45803547,BIOC,OCP
0.45789272,PHIL,PHYS
0.45752633,LING,LTAM
0.45731783,DGAH,LING
0.45602015,BIOL,GRK
0.45504138,DANC,FREN
0.45476958,GWSS,THEA
0.45475847,ARBC,LING
0.45471036,ARTS,RELG
0.45437878,ECON,LATN
0.45289466,ECON,PHIL
0.45256573,EDUC,GERM
0.45199737,CS,LATN
0.45181176,PSYC,RUSS
0.4511066,CCST,EUST
0.4506198,CGSC,EDUC
0.45044237,EUST,GERM
0.44969422,GERM,LTAM
0.44934034,CS,HEBR
0.44609472,MUSC,PHIL
0.4455158,GEOL,POSC
0.44527298,ECON,GRK
0.44497362,EUST,HEBR
0.44480807,SOAN,THEA
0.44243404,CHIN,GWSS
0.4422444,CLAS,GRK
0.4419337,CAMS,PHIL
0.4409621,CCST,MEST
0.44083843,GEOL,JAPN
0.43881,ASST,HIST
0.43823346,ASLN,MEST
0.43789414,LTAM,MATH
0.43738532,AFST,BIOC
0.43727967,EUST,PSYC
0.43718714,FREN,GWSS
0.4367611,ARTH,MUSC
0.43622324,CS,THEA
0.4350455,AFST,GRK
0.43497247,CCST,PHYS
0.4349532,AMST,BIOL
0.43489066,ARTS,SOAN
0.4344434,EUST,JAPN
0.4340312,PHIL,PSYC
0.43263462,AFST,BIOL
0.43258336,AMST,IDSC
0.43256205,CLAS,LING
0.43068227,FREN,THEA
0.4301773,ENGL,MATH
0.42896646,EDUC,LATN
0.42849568,BIOL,LING
0.4270062,ARTH,LING
0.42647752,BIOL,SOAN
0.42621765,EUST,STAT
0.42617157,PHIL,STAT
0.42605862,PHYS,SOAN
0.42596745,CHIN,EUST
0.4256129,ASLN,ASST
0.4251954,PSYC,RELG
0.42483637,ASTR,PHIL
0.42461315,ARBC,GWSS
0.4245308,ECON,HEBR
0.42412567,CCST,JAPN
0.42410913,POSC,THEA
0.42377508,ARTS,HEBR
0.42347738,BIOC,GWSS
0.42047414,ECON,FREN
0.42014176,ASST,OCP
0.41995937,ARCN,CCST
0.4189714,CAMS,EUST
0.41894805,CS,OCP
0.41765922,EUST,LING
0.41693267,AMST,LING
0.41659746,AMST,CGSC
0.41612157,BIOL,CS
0.41485652,CHIN,MEST
0.4141656,CS,GWSS
0.414134,ARTS,RUSS
0.41360986,CGSC,MEST
0.41332388,EUST,MELA
0.41316015,ARTH,IDSC
0.41295356,DANC,EUST
0.4128677,ARTS,CGSC
0.41277575,CGSC,GWSS
0.41190526,EUST,GEOL
0.411393,ENGL,GEOL
0.41136244,EUST,POSC
0.41080773,CLAS,EDUC
0.41017097,BIOC,LATN
0.40893,BIOC,CHIN
0.40844494,ARTH,GEOL
0.40839064,CHIN,CLAS
0.4079901,MATH,MELA
0.40793163,ARCN,OCP
0.40671223,AMST,LATN
0.40649623,DANC,GERM
0.4059919,CAMS,CHIN
0.4050286,GERM,OCP
0.40483183,ARCN,ARTS
0.40337688,OCP,STAT
0.40330496,CAMS,MEST
0.40321678,ARTS,CHIN
0.4031267,CCST,HEBR
0.40230244,ECON,LING
0.40206972,MUSC,STAT
0.40204856,BIOL,MELA
0.40099534,HIST,LING
0.40065336,EUST,LTAM
0.40044358,ARTS,PHIL
0.40011314,CHEM,MEST
0.39935124,ASST,GEOL
0.39826015,DANC,DGAH
0.39768824,AFST,CHEM
0.39699832,GEOL,LTAM
0.3959582,DGAH,POSC
0.39389718,CLAS,MATH
0.39377734,ARTH,THEA
0.3926286,ARBC,ARCN
0.3918141,BIOC,GRK
0.39138252,ASTR,CHIN
0.39115432,EDUC,JAPN
0.39103147,IDSC,LTAM
0.38761255,ASST,GERM
0.38748968,GERM,GWSS
0.38737667,CCST,OCP
0.38524416,CLAS,CS
0.38209566,BIOL,SPAN
0.3820479,AMST,ARBC
0.38082698,CLAS,EUST
0.37996674,BIOC,DGAH
0.3791792,HIST,MUSC
0.37857175,MELA,NEUR
0.3783748,LING,NEUR
0.3772178,AFST,ARBC
0.3764215,EDUC,GWSS
0.37619776,EUST,MATH
0.37571952,GEOL,NEUR
0.37554258,ARCN,GEOL
0.3754525,AFST,STAT
0.37445784,ASST,CLAS
0.37317136,NEUR,RELG
0.3730865,EUST,GRK
0.37227255,ARCN,IDSC
0.37216076,GWSS,MUSC
0.37172446,PHYS,RUSS
0.37038523,ENGL,LING
0.36819485,JAPN,MELA
0.36721307,GWSS,LATN
0.36464173,BIOL,LTAM
0.36203384,AFST,ASLN
0.35702953,GEOL,HEBR
0.35691735,AFST,HEBR
0.35301167,ASST,MEST
0.3524875,BIOC,CLAS
0.3515345,MATH,OCP
0.35104078,CHEM,GWSS
0.35070348,AFST,EUST
0.3506704,EUST,PHYS
0.34977302,ASLN,EUST
0.34854135,CAMS,LTAM
0.34842306,HIST,SPAN
0.3465734,GERM,MELA
0.34505886,MELA,OCP
0.34419343,ECON,RUSS
0.34190997,EDUC,MELA
0.34117416,ENGL,RELG
0.34036428,AFST,NEUR
0.3401765,CHEM,OCP
0.33959207,ARCN,STAT
0.33930132,PSYC,THEA
0.3391559,AMST,NEUR
0.33877218,ARTS,LATN
0.33779594,GEOL,LING
0.33755043,AFST,CGSC
0.33715343,MELA,STAT
0.33704653,MATH,MEST
0.33663028,BIOC,FREN
0.33563253,NEUR,PHIL
0.33048567,ASST,LATN
0.32985106,AMST,ARTS
0.32784605,AMST,GRK
0.32748696,ASTR,CLAS
0.32545865,CHIN,MELA
0.32134223,ENGL,GERM
0.32131538,ASLN,DGAH
0.32105708,DANC,MELA
0.32024282,EDUC,MATH
0.318408,ASST,ASTR
0.31693953,ARTS,OCP
0.31666723,CCST,GEOL
0.31464705,AMST,ASTR
0.31415614,CCST,GWSS
0.31301892,ARTH,ARTS
0.31163985,ARCN,NEUR
0.3100676,ARTH,GRK
0.30970255,ARTH,BIOC
0.30916074,AMST,MEST
0.30563417,ASLN,LTAM
0.3045841,ARTS,CLAS
0.30444458,BIOC,EUST
0.30240366,EDUC,MEST
0.30002886,GWSS,OCP
0.29941255,AMST,GEOL
0.29820538,GEOL,GRK
0.29735467,CLAS,MEST
0.29664153,ARTH,STAT
0.29238608,CCST,CGSC
0.2923653,AFST,LATN
0.29186526,ASTR,EUST
0.2907561,ASTR,MEST
0.28882694,BIOC,MELA
0.28627527,CCST,CLAS
0.28563312,AMST,CS
0.28478324,ARTH,CHEM
0.28233194,ARTH,CGSC
0.2811319,ARCN,BIOC
0.28051555,ARCN,HEBR
0.28026214,CHIN,OCP
0.2798099,CS,DGAH
0.27956352,AMST,OCP
0.27811474,IDSC,OCP
0.27725646,ARTS,ASLN
0.27660382,ECON,LTAM
0.27577677,ARTH,ASLN
0.27571127,CAMS,CLAS
0.2739702,ARCN,MEST
0.27349553,ARTS,FREN
0.27037957,EDUC,NEUR
0.2690518,ARTS,GRK
0.26856947,CHEM,EUST
0.26847583,DANC,GWSS
0.2672606,ARBC,ARTH
0.26706377,GEOL,GWSS
0.2661028,HEBR,MELA
0.2651467,JAPN,OCP
0.26476285,ASST,DGAH
0.26354676,ECON,GWSS
0.26153994,AMST,CHEM
0.26036847,ARTS,ASST
0.25794545,ARBC,CCST
0.25689897,ARTS,EUST
0.25630474,CCST,DGAH
0.25346985,ARTH,LATN
0.25324252,ASTR,LTAM
0.25191823,EDUC,HEBR
0.25184342,HIST,LATN
0.250448,CAMS,MELA
0.24329063,CLAS,HEBR
0.24007119,EUST,GWSS
0.23936045,CGSC,EUST
0.23826586,ASLN,CCST
0.23813283,EDUC,GEOL
0.23666117,LTAM,NEUR
0.23498473,AMST,ASLN
0.23312642,AMST,MATH
0.23233725,ARTS,LING
0.22563791,GWSS,STAT
0.2220584,BIOL,GWSS
0.2200028,GWSS,NEUR
0.21959817,ENGL,MELA
0.21290478,ECON,MELA
0.20917138,ENGL,GWSS
0.20844626,EDUC,STAT
0.2081539,CLAS,DGAH
0.20617406,NEUR,RUSS
0.20412071,LTAM,MEST
0.20278746,ARTS,GWSS
0.2022268,AFST,CCST
0.19878832,CAMS,GWSS
0.19273612,ARTS,MEST
0.19119337,BIOC,LTAM
0.19039796,GEOL,MELA
0.1892679,GEOL,LATN
0.1881586,BIOC,MEST
0.1844533,MELA,MEST
0.1809966,HIST,MEST
0.18001223,LTAM,STAT
0.17898309,CLAS,STAT
0.17877904,ARTH,OCP
0.17719154,ASLN,MELA
0.17657761,ASTR,OCP
0.17630023,CS,EUST
0.1745945,DANC,LTAM
0.17228359,AFST,OCP
0.1707947,CHEM,MELA
0.1671967,GRK,MELA
0.16669437,HIST,OCP
0.16581997,GWSS,HEBR
0.16569208,ARTS,LTAM
0.16059849,GEOL,MEST
0.15911525,ARTH,NEUR
0.15640719,ASTR,MELA
0.15499869,ASTR,GWSS
0.15496261,CS,LTAM
0.15449637,ASST,MELA
0.15214187,ENGL,LTAM
0.14967893,IDSC,MELA
0.14577335,AFST,MEST
0.14481129,CGSC,OCP
0.1402004,CHEM,CLAS
0.1394486,AMST,CCST
0.13902596,EUST,OCP
0.1383666,DGAH,OCP
0.12755673,CCST,NEUR
0.12693365,ARTH,EUST
0.1238414,HEBR,OCP
0.12268929,RELG,STAT
0.12250871,ARBC,MELA
0.120613106,CS,MEST
0.1144357,AMST,HEBR
0.114184275,CS,MELA
0.110906035,AMST,BIOC
0.10663736,BIOL,OCP
0.07874491,AMST,DGAH
0.0731189,LATN,MELA
0.07214512,CCST,MELA
0.07199436,ARTH,CCST
0.0718275,DGAH,MELA
0.071145594,LING,MELA
0.07074759,LING,MEST
0.06703871,DGAH,GWSS
0.06667522,MUSC,OCP
0.06465529,ECON,MEST
0.0637289,BIOC,CCST
0.059321288,ENGL,OCP
0.056570265,CLAS,OCP
0.050448447,AMST,STAT
0.047820706,MEST,OCP
0.046794534,ECON,OCP
0.046215814,ARBC,OCP
0.041024126,CGSC,MELA
0.040333424,ARTH,HEBR
0.033539046,ECON,EUST
0.029503904,NEUR,OCP
0.019260027,AFST,DGAH
0.005043591,GWSS,MEST
0.004044111,ARCN,DGAH
-0.0032254513,BIOL,CCST
-0.0045994995,CAMS,OCP
-0.0071639586,ARTH,DGAH
-0.01827643,GRK,OCP
-0.023983821,LATN,OCP
-0.056577116,DANC,OCP
-0.05910067,ASLN,OCP
-0.078451335,ARTH,MEST
-0.084161095,FREN,OCP
-0.09564494,FREN,MELA
-0.12680303,ASTR,CCST
-0.13313873,CAMS,CCST
-0.15730482,ARTS,CCST
